audit_id,standard,clause,annex,page,equation_number,topic,normative_status,short_description,input_variables,output_variables,units,time_basis,planned_module,planned_function,implementation_status,test_status,validation_status,comments
SP16-EQ-001,СП 16.13330.2017 «Стальные конструкции»,6.6,,13,1,design properties of materials and connections,normative calculation expression,Foundation and anchor bolt tensile design resistance: Rba = 0.8 Ryn.,normative_yield_resistance_n_mm2 (Ryn),foundation_anchor_bolt_tension_design_resistance_n_mm2 (Rba),N/mm2,not_applicable,standard_core/material_resistance.py,foundation_anchor_bolt_tension_design_resistance_n_mm2,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Formula visually verified against supplied PDF page 13; coefficient 0.8 and Ryn input transcribed.
SP16-EQ-002,СП 16.13330.2017 «Стальные конструкции»,6.6,,13,2,design properties of materials and connections,normative calculation expression,U-bolt tensile design resistance: RbU = 0.85 Ryn.,normative_yield_resistance_n_mm2 (Ryn),u_bolt_tension_design_resistance_n_mm2 (RbU),N/mm2,not_applicable,standard_core/material_resistance.py,u_bolt_tension_design_resistance_n_mm2,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Formula visually verified against supplied PDF page 13; coefficient 0.85 and Ryn input transcribed.
SP16-EQ-003,СП 16.13330.2017 «Стальные конструкции»,6.7,,13,3 (excluded/reserved),design properties of materials and connections,excluded in supplied edition,Equation number reserved by excluded clause 6.7; no operative formula is present in the supplied edition.,not_applicable,not_applicable,not_applicable,not_applicable,standard_core/material_resistance.py,,no_code_explanatory,inventory_tested,not_applicable,Tracked to preserve equation-number continuity and prevent accidental invention of a deleted formula.
SP16-EQ-004,СП 16.13330.2017 «Стальные конструкции»,6.8,,13,4,design properties of materials and connections,normative calculation expression,High-strength wire tensile design resistance: Rdh = 0.63 Run.,normative_ultimate_resistance_n_mm2 (Run),high_strength_wire_tension_design_resistance_n_mm2 (Rdh),N/mm2,not_applicable,standard_core/material_resistance.py,high_strength_wire_tension_design_resistance_n_mm2,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Formula visually verified against supplied PDF page 13; coefficient 0.63 and Run input transcribed.
SP16-EQ-005,СП 16.13330.2017 «Стальные конструкции»,7.1.1,,14,5,centrally tensioned and compressed members,normative calculation expression,"Central tension/compression strength utilization N/(A_n R_y gamma_c) <= 1, with the explicit R_u/gamma_u replacement branch defined in clause 7.1.1.",axial_force_n; net_area_mm2; design_yield_resistance_n_mm2 or design_ultimate_resistance_n_mm2; working_condition_factor; ultimate_resistance_safety_factor for the R_u branch,dimensionless utilization ratio,N; mm2; N/mm2; dimensionless,static design action effect,standard_core/axial_members.py,axial_strength_utilization_yield; axial_strength_utilization_ultimate,implemented,normal_zero_boundary_unit_sign_and_branch_tests_passed,implementation_self_checks_passed_no_standard_worked_example,Formula and both explicitly stated resistance branches visually verified on PDF page 14. Applicability selection remains explicit.
SP16-EQ-006,СП 16.13330.2017 «Стальные конструкции»,7.1.2,,14,6,centrally tensioned and compressed members,normative calculation expression,Strength utilization for a one-leg bolted single-angle connection: N gamma_u/(A_n R_u gamma_c1) <= 1.,axial_force_n; net_area_mm2; design_ultimate_resistance_n_mm2; ultimate_resistance_safety_factor; angle_working_condition_factor,dimensionless utilization ratio,N; mm2; N/mm2; dimensionless,static design action effect,standard_core/axial_members.py,single_angle_connection_strength_utilization,implemented,normal_zero_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Equation visually verified on PDF page 14. Clause geometry and steel-grade restrictions are documented and not inferred.
SP16-EQ-007,СП 16.13330.2017 «Стальные конструкции»,7.1.3,,15,7,centrally tensioned and compressed members,normative calculation expression,Central-compression stability utilization N/(phi A R_y gamma_c) <= 1.,axial_force_n; gross_area_mm2; design_yield_resistance_n_mm2; working_condition_factor; stability_coefficient,dimensionless stability utilization,N; mm2; N/mm2; dimensionless,static design action effect,standard_core/axial_members.py,central_compression_stability_utilization,implemented,normal_zero_boundary_unit_sign_and_phi_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Equation visually verified on PDF page 15. Local-stability prerequisites 7.3.2-7.3.9 remain external to this release.
SP16-EQ-007A,СП 16.13330.2017 «Стальные конструкции»,7.1.3,,15,7a,centrally tensioned and compressed members,normative calculation expression,Optional rolled-I central-compression stability utilization N/(gamma_res phi A Ry gamma_c) <= 1.,axial_force_n; gross_area_mm2; design_yield_resistance_n_mm2; working_condition_factor; stability_coefficient_phi; gamma_res,dimensionless stability utilization,N; mm2; N/mm2; dimensionless,static design action effect,standard_core/axial_workflows.py,central_compression_stability_utilization_eq7a,implemented,current_source_formula_gamma_res_boundary_and_guided_route_tests_passed,current_change_6_source_rebaseline_stage_n3,Equation (7a) and gamma_res rules visually/source verified against the consolidated current SP16 page 15. NormCAD historical SP16 module has no 7a route and is classified outdated for this node.
SP16-EQ-008,СП 16.13330.2017 «Стальные конструкции»,7.1.3,,15,8,centrally tensioned and compressed members,normative calculation expression,"Central-compression stability coefficient phi from delta and relative slenderness, including low-slenderness and 7.6/lambda_bar^2 cap rules.",relative_slenderness_value; section_type a/b/c,stability_coefficient phi,dimensionless,not applicable,standard_core/axial_members.py,central_compression_stability_coefficient,implemented,formula_low_slenderness_threshold_cap_and_annex_D1_consistency_tests_passed,validated_against_all_printed_Table_D1_cells_with_rounding_tolerance,Equation and rule text visually verified on PDF page 15. Rationalized algebraic form is used for numerical stability without changing the equation.
SP16-EQ-009,СП 16.13330.2017 «Стальные конструкции»,7.1.3,,15,9,centrally tensioned and compressed members,normative calculation expression,Delta = 9.87(1-alpha+beta lambda_bar)+lambda_bar^2 for equation (8).,relative_slenderness_value; alpha; beta,delta,dimensionless,not applicable,standard_core/axial_members.py,stability_delta,implemented,normal_zero_boundary_unit_and_sign_tests_passed,implementation_self_check_and_Table_D1_chain_passed,Formula visually verified on PDF page 15.
SP16-EQ-010,СП 16.13330.2017 «Стальные конструкции»,7.1.5,,16,10,centrally tensioned and compressed members,normative calculation expression,Проверка устойчивости сжатого элемента сплошного открытого П-образного сечения по п. 7.1.5.,N; A; Ry; gamma_c; c_max; relative_slenderness_y,utilization,N; mm2; N/mm2; dimensionless,not_applicable,standard_core/axial_members.py,open_u_section_torsional_flexural_utilization,implemented,tested,implementation_self_check_and_historical_v0_22_seed,Reconstructed from the source clause and surviving v0.22 API/validation evidence. c_max remains explicit; no geometry-derived Annex D lookup is invented.
SP16-EQ-011,СП 16.13330.2017 «Стальные конструкции»,7.1.5,,16,11,centrally tensioned and compressed members,normative calculation expression,Вспомогательный коэффициент phi_1 = 7.6*c_max/lambda_bar_y^2 для п. 7.1.5.,c_max; relative_slenderness_y,phi_1,dimensionless,not_applicable,standard_core/axial_members.py,open_u_section_phi_1,implemented,tested,implementation_self_check_and_historical_v0_22_seed,Reconstructed from the source clause and surviving v0.22 API/validation evidence; rejects zero/non-finite relative slenderness.
