audit_id,standard,clause,page,short_description,planned_module,planned_function,implementation_status,test_status,validation_status,comments
SP16-PROC-6.2,СП 16.13330.2017 «Стальные конструкции»,6.2,11,Cold-formed section design resistance equals the source-sheet design resistance.,standard_core/material_resistance.py,cold_formed_section_design_resistance_n_mm2,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Identity procedure visually verified on PDF page 11.
SP16-PROC-6.4-DISSIMILAR,СП 16.13330.2017 «Стальные конструкции»,6.4,12,"For butt-welded steels with different normative resistances, use the lower applicable resistance.",standard_core/material_resistance.py,dissimilar_steel_butt_weld_governing_resistance_n_mm2,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Post-table rule visually verified on PDF page 12.
SP16-PROC-6.4-GAMMA-WM,СП 16.13330.2017 «Стальные конструкции»,6.4,12,Weld-metal safety factor gamma_wm is 1.25 at Rwun <= 490 and 1.35 at Rwun >= 590 N/mm2.,standard_core/material_resistance.py,weld_metal_safety_factor,implemented,boundary_and_unspecified_interval_tested,implementation_self_check_passed_no_standard_worked_example,No interpolation is applied in the unspecified 490-590 N/mm2 interval.
SP16-PROC-6.9,СП 16.13330.2017 «Стальные конструкции»,6.9,13,Steel-rope design tensile force equals whole-rope breaking force divided by gamma_m = 1.6.,standard_core/material_resistance.py,steel_rope_design_tension_force_n,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Breaking force is an external product-standard/certificate input.
SP16-PROC-7.1.1-RESISTANCE-BASIS,СП 16.13330.2017 «Стальные конструкции»,7.1.1,14,Use R_y in equation (5) for the base branch and replace it by R_u/gamma_u only for the explicitly stated post-yield/high-strength cases.,standard_core/axial_members.py,axial_strength_utilization_yield; axial_strength_utilization_ultimate,implemented,explicit_branch_and_no_hidden_default_tests_passed,implementation_self_checks_passed_no_standard_worked_example,Branch selection is explicit; the package does not infer service-after-yield permission.
SP16-PROC-7.1.2-GAMMA-C1,СП 16.13330.2017 «Стальные конструкции»,7.1.2,14,Compute gamma_c1 = (alpha1 A_n1/A_n + alpha2) beta using Table 6 coefficients.,standard_core/axial_members.py,single_angle_working_condition_factor,implemented,normal_area_ratio_boundary_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Unnumbered expression visually verified directly below equation (6).
SP16-PROC-7.1.2-SPECIAL-REDUCTION,СП 16.13330.2017 «Стальные конструкции»,7.1.2,15,Reduce gamma_c1 by 10% for the specifically listed tie/cross-arm/support elements.,standard_core/axial_members.py,single_angle_working_condition_factor,implemented,explicit_boolean_reduction_test_passed,implementation_self_check_passed_no_standard_worked_example,Applicability is a mandatory explicit boolean and is not inferred from labels.
SP16-PROC-7.1.3-RELATIVE-SLENDERNESS,СП 16.13330.2017 «Стальные конструкции»,7.1.3,15,Compute relative slenderness lambda_bar = lambda sqrt(R_y/E).,standard_core/axial_members.py,relative_slenderness,implemented,normal_zero_unit_consistency_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Definition visually verified below equation (9).
SP16-PROC-7.1.3-PHI-RULES,СП 16.13330.2017 «Стальные конструкции»,7.1.3,15,"Apply phi=1 for types a/b when lambda_bar<0.6 and apply the 7.6/lambda_bar^2 cap at the Table D.1 boundary nodes 3.8, 4.4, and 5.8 and above.",standard_core/axial_members.py,central_compression_stability_coefficient,implemented,low_slenderness_boundary_node_and_cap_tests_passed,validated_against_Table_D1_printed_values,The clause text says “above”; Table D.1 uses capped values at boundary nodes. The implementation follows Table D.1 at equality and records the ambiguity.
SP16-PROC-7.2.1-STRENGTH,СП 16.13330.2017 «Стальные конструкции»,7.2.1,17,Apply equation (5) to the total net area of the built-up member.,standard_core/built_up_axial_members.py,built_up_axial_strength_utilization,implemented,normal_boundary_domain_and_explicit_route_tests_passed,implementation_self_check_passed_no_standard_worked_example,Visually verified against supplied PDF pages 17-21. Ambiguous or externally solved routes are surfaced explicitly.
