clause_id,standard,clause,annex,page_start,page_end,title,normative_status,contains_equations,contains_tables,contains_validation_example,implementation_relevance,comments
1,СП 16.13330.2017 «Стальные конструкции»,1,,2,2,Область применения,normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
1.1,СП 16.13330.2017 «Стальные конструкции»,1.1,,2,2,Настоящий свод правил устанавливает требования и распространяется на проектирование и расчет стальных,normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
1.2,СП 16.13330.2017 «Стальные конструкции»,1.2,,2,2,"При проектировании конструкций, находящихся в особых условиях эксплуатации (например, конструкций",normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
2,СП 16.13330.2017 «Стальные конструкции»,2,,2,4,Нормативные ссылки В настоящем своде правил использованы ссылки на следующие нормативные документы ГОСТ 839-2019,normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
3,СП 16.13330.2017 «Стальные конструкции»,3,,4,4,"Термины и определения В настоящем своде правил применены термины по ГОСТ Р 58904, ГОСТ Р 58905, ГОСТ Р ИСО 17659 и ГОСТ 28548 (Измененная редакция, Изм. N 4)",normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
4,СП 16.13330.2017 «Стальные конструкции»,4,,4,9,Общие положения,normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
4.1,СП 16.13330.2017 «Стальные конструкции»,4.1,,4,5,Основные требования к конструкциям,normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
4.1.1,СП 16.13330.2017 «Стальные конструкции»,4.1.1,,4,4,"При проектировании стальных строительных конструкций следует принимать конструктивные схемы, обеспечивающие прочность, устойчивость и пространственную неизменяемость",normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
4.1.1а,СП 16.13330.2017 «Стальные конструкции»,4.1.1а,,4,4,При проектировании стальных тонкостенных конструкций из холодногнутых оцинкованных профилей и гофрированных листов необходимо соблюдать требования СП 260.1325800. При проектирован…,normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
4.1.2,СП 16.13330.2017 «Стальные конструкции»,4.1.2,,4,5,"Стальные конструкции открытых (эксплуатируемых на открытом воздухе, то есть незащищенных от атмосферных воздействий) сооружений (крановых эстакад, опор ЛЭП, опор трубопроводов и е…",normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
4.1.3,СП 16.13330.2017 «Стальные конструкции»,4.1.3,,5,5,Рабочие чертежи конструкций должны соответствовать требованиям нормативных документов по изготовлению,normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
4.2,СП 16.13330.2017 «Стальные конструкции»,4.2,,5,7,Основные расчетные требования,normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
4.2.1,СП 16.13330.2017 «Стальные конструкции»,4.2.1,,5,5,"Стальные конструкции и их расчет должны удовлетворять требованиям по надежности ГОСТ 27751 Расчет стальных конструкций следует выполнять с учетом назначения конструкций, условий и…",normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
4.2.2,СП 16.13330.2017 «Стальные конструкции»,4.2.2,,5,5,"При расчете конструкций значения нагрузок и воздействий, а также предельные значения прогибов и",normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
4.2.3,СП 16.13330.2017 «Стальные конструкции»,4.2.3,,5,5,За расчетную температуру в районе строительства следует принимать температуру наружного воздуха наиболее,normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
4.2.4,СП 16.13330.2017 «Стальные конструкции»,4.2.4,,5,6,Расчетные схемы и основные предпосылки расчета должны отражать действительные условия работы стальных,normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
4.2.5,СП 16.13330.2017 «Стальные конструкции»,4.2.5,,6,6,Пространственные стальные конструкции следует рассчитывать как единые системы с учетом факторов,normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
4.2.6,СП 16.13330.2017 «Стальные конструкции»,4.2.6,,6,7,"Несущая способность и жесткость каркасов производственных зданий обеспечивается поперек здания поперечными рамами, состоящими из колонн (стоек рамы) и ригелей в виде ферм или спло…",normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
4.2.7,СП 16.13330.2017 «Стальные конструкции»,4.2.7,,7,7,"Элементы конструкций, рассматриваемые в настоящем своде правил, в зависимости от напряженно- деформированного состояния (НДС) расчетного сечения подразделяются на три класса",normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
4.3,СП 16.13330.2017 «Стальные конструкции»,4.3,,7,9,Учет назначения и условий работы конструкций,normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
4.3.1,СП 16.13330.2017 «Стальные конструкции»,4.3.1,,7,7,"В зависимости от назначения, условий работы и наличия сварных соединений конструкции следует подразделять",normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
4.3.2,СП 16.13330.2017 «Стальные конструкции»,4.3.2,,7,7,При расчете конструкций и соединений следует учитывать коэффициенты надежности по ответственности,normative,no,yes,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
4.3.3,СП 16.13330.2017 «Стальные конструкции»,4.3.3,,7,9,При,normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
4.3.4,СП 16.13330.2017 «Стальные конструкции»,4.3.4,,9,9,"При проектировании конструкций, возводимых или эксплуатируемых в условиях низких температур (t<-45°С)",normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
4.3.5,СП 16.13330.2017 «Стальные конструкции»,4.3.5,,9,9,"При проектировании сварных конструкций следует снижать вредное влияние остаточных деформаций и напряжений, в том числе сварочных, а также концентрации напряжений, предусматривая с…",normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
5,СП 16.13330.2017 «Стальные конструкции»,5,,9,10,Материалы для конструкций и соединений,normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
