audit_id,standard_reference,item_type,implemented_function_or_data_file,test_file,validation_case,status,comments
SP16-EQ-001,6.6,equation,standard_core/material_resistance.py:foundation_anchor_bolt_tension_design_resistance_n_mm2,tests/test_material_resistance.py,V11-SP16-EQ-001,implemented,Formula visually verified against supplied PDF page 13; coefficient 0.8 and Ryn input transcribed.
SP16-EQ-002,6.6,equation,standard_core/material_resistance.py:u_bolt_tension_design_resistance_n_mm2,tests/test_material_resistance.py,V11-SP16-EQ-002,implemented,Formula visually verified against supplied PDF page 13; coefficient 0.85 and Ryn input transcribed.
SP16-EQ-003,6.7,equation,standard_core/material_resistance.py,tests/test_equations.py,,no_code_explanatory,Tracked to preserve equation-number continuity and prevent accidental invention of a deleted formula.
SP16-EQ-004,6.8,equation,standard_core/material_resistance.py:high_strength_wire_tension_design_resistance_n_mm2,tests/test_material_resistance.py,V11-SP16-EQ-004,implemented,Formula visually verified against supplied PDF page 13; coefficient 0.63 and Run input transcribed.
SP16-EQ-005,7.1.1,equation,standard_core/axial_members.py:axial_strength_utilization_yield; axial_strength_utilization_ultimate,tests/test_axial_members.py,V11-SP16-EQ-005,implemented,Formula and both explicitly stated resistance branches visually verified on PDF page 14. Applicability selection remains explicit.
SP16-EQ-006,7.1.2,equation,standard_core/axial_members.py:single_angle_connection_strength_utilization,tests/test_axial_members.py,V11-SP16-EQ-006,implemented,Equation visually verified on PDF page 14. Clause geometry and steel-grade restrictions are documented and not inferred.
SP16-EQ-007,7.1.3,equation,standard_core/axial_members.py:central_compression_stability_utilization,tests/test_axial_members.py,V11-SP16-EQ-007,implemented,Equation visually verified on PDF page 15. Local-stability prerequisites 7.3.2-7.3.9 remain external to this release.
SP16-EQ-007A,,equation,standard_core/axial_workflows.py:central_compression_stability_utilization_eq7a,tests/test_stage_n3_axial_workflows.py,N3-SP16-EQ-007A,implemented,
SP16-EQ-008,7.1.3,equation,standard_core/axial_members.py:central_compression_stability_coefficient,tests/test_axial_members.py,V11-SP16-EQ-008,implemented,Equation and rule text visually verified on PDF page 15. Rationalized algebraic form is used for numerical stability without changing the equation.
SP16-EQ-009,7.1.3,equation,standard_core/axial_members.py:stability_delta,tests/test_axial_members.py,V11-SP16-EQ-009,implemented,Formula visually verified on PDF page 15.
SP16-EQ-010,7.1.5,equation,standard_core.axial_members.open_u_section_torsional_flexural_utilization,tests/test_final_annex_and_release_consolidation.py,AXIAL-EQ-010-RECONSTRUCTION,implemented,Reconstructed and independently regression-tested against surviving historical v0.22 seed evidence.
SP16-EQ-011,7.1.5,equation,standard_core.axial_members.open_u_section_phi_1,tests/test_final_annex_and_release_consolidation.py,AXIAL-EQ-011-RECONSTRUCTION,implemented,Reconstructed and independently regression-tested against surviving historical v0.22 seed evidence.
SP16-EQ-012,7.2.2-7.2.3,equation,standard_core/built_up_axial_members.py:battened_effective_slenderness_type_1,tests/test_built_up_axial_members.py,V11-SP16-EQ-012,implemented,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-013,7.2.2-7.2.3,equation,standard_core/built_up_axial_members.py:battened_effective_slenderness_type_2,tests/test_built_up_axial_members.py,V11-SP16-EQ-013,implemented,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-014,7.2.2-7.2.3,equation,standard_core/built_up_axial_members.py:battened_effective_slenderness_type_3,tests/test_built_up_axial_members.py,V11-SP16-EQ-014,implemented,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-015,7.2.2-7.2.5,equation,standard_core/built_up_axial_members.py:lattice_effective_slenderness_type_1,tests/test_built_up_axial_members.py,V11-SP16-EQ-015,implemented,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-016,7.2.2-7.2.5,equation,standard_core/built_up_axial_members.py:lattice_effective_slenderness_type_2,tests/test_built_up_axial_members.py,V11-SP16-EQ-016,implemented,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-017,7.2.2-7.2.5,equation,standard_core/built_up_axial_members.py:lattice_effective_slenderness_type_3,tests/test_built_up_axial_members.py,V11-SP16-EQ-017,implemented,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-018,7.2.7,equation,standard_core/built_up_axial_members.py:fictitious_shear_force_n,tests/test_built_up_axial_members.py,V11-SP16-EQ-018,implemented,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-019,7.2.8,equation,standard_core/built_up_axial_members.py:batten_shear_force_n,tests/test_built_up_axial_members.py,V11-SP16-EQ-019,implemented,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-020,7.2.8,equation,standard_core/built_up_axial_members.py:batten_bending_moment_n_mm,tests/test_built_up_axial_members.py,V11-SP16-EQ-020,implemented,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-021,7.2.9,equation,standard_core/built_up_axial_members.py:lattice_diagonal_force_n,tests/test_built_up_axial_members.py,V11-SP16-EQ-021,implemented,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-022,7.2.9,equation,standard_core/built_up_axial_members.py:cross_lattice_additional_diagonal_force_n,tests/test_built_up_axial_members.py,V11-SP16-EQ-022,implemented,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-023,7.3.2,equation,standard_core/local_stability.py:wall_slenderness_limit_eq23,tests/test_local_stability.py,V11-SP16-EQ-023,implemented,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-024,7.3.2,equation,standard_core/local_stability.py:wall_slenderness_limit_eq24,tests/test_local_stability.py,V11-SP16-EQ-024,implemented,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-025,7.3.2,equation,standard_core/local_stability.py:wall_slenderness_limit_eq25,tests/test_local_stability.py,V11-SP16-EQ-025,implemented,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-026,7.3.2,equation,standard_core/local_stability.py:wall_slenderness_limit_eq26,tests/test_local_stability.py,V11-SP16-EQ-026,implemented,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-027,7.3.2,equation,standard_core/local_stability.py:wall_slenderness_limit_eq27,tests/test_local_stability.py,V11-SP16-EQ-027,implemented,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-028,7.3.2,equation,standard_core/local_stability.py:wall_slenderness_limit_eq28,tests/test_local_stability.py,V11-SP16-EQ-028,implemented,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-029,7.3.2,equation,standard_core/local_stability.py:wall_slenderness_limit_eq29,tests/test_local_stability.py,V11-SP16-EQ-029,implemented,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-030,7.3.4,equation,standard_core/local_stability.py:longitudinal_stiffener_wall_limit_multiplier_eq30,tests/test_local_stability.py,V11-SP16-EQ-030,implemented,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-031,7.3.6,equation,standard_core/local_stability.py:reduced_area_i_or_channel_eq31,tests/test_local_stability.py,V11-SP16-EQ-031,implemented,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-032,7.3.6,equation,standard_core/local_stability.py:reduced_area_box_central_eq32,tests/test_local_stability.py,V11-SP16-EQ-032,implemented,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-033,7.3.6,equation,standard_core/local_stability.py:reduced_area_box_eccentric_eq33,tests/test_local_stability.py,V11-SP16-EQ-033,implemented,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-034,7.3.6,equation,standard_core/local_stability.py:reduced_web_height_i_section_eq34,tests/test_local_stability.py,V11-SP16-EQ-034,implemented,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-035,7.3.6,equation,standard_core/local_stability.py:reduced_plate_dimension_box_eq35,tests/test_local_stability.py,V11-SP16-EQ-035,implemented,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
