audit_id,standard,clause,annex,page,table_number,table_title,topic,normative_status,planned_module,implementation_status,test_status,comments
SP16-TBL-1,СП 16.13330.2017 «Стальные конструкции»,4.3.2,,7,1,Расчетная таблица к п. 4.3.2: При расчете конструкций и соединений следует учитывать коэффициенты надежности по ответственности,general design and calculation requirements,normative reference table,standard_core/general_requirements.py,implemented_as_data,tested,"Fully transcribed as exact categorical data, including Note 5 default gamma_c=1. No automatic case classification or factor combination is inferred."
SP16-TBL-2,СП 16.13330.2017 «Стальные конструкции»,6.1,,11,2,"Расчетная таблица к п. 6.1: Расчетные сопротивления проката, гнутых профилей и труб для различных видов напряженных состояний следует",design properties of materials and connections,normative reference table,standard_core/material_resistance.py,implemented_as_data,existence_lookup_value_consistency_tested,Formula coefficients visually transcribed from PDF page 11 into data/table_2_resistance_formulas.json and exposed through audited functions.
SP16-TBL-3,СП 16.13330.2017 «Стальные конструкции»,6.1,,11,3,"Расчетная таблица к п. 6.1: Расчетные сопротивления проката, гнутых профилей и труб для различных видов напряженных состояний следует",design properties of materials and connections,normative reference table,standard_core/material_resistance.py,implemented_as_data,existence_lookup_value_consistency_tested,Four gamma_m categories visually transcribed from PDF page 11. Category selection remains explicit and is never inferred.
SP16-TBL-4,СП 16.13330.2017 «Стальные конструкции»,6.4,,12,4,Расчетная таблица к п. 6.4: Расчетные сопротивления сварных соединений для соединений различных видов и напряженных состояний,design properties of materials and connections,normative reference table,standard_core/material_resistance.py,implemented_as_data,existence_lookup_value_consistency_tested,Weld resistance formulas visually transcribed from PDF page 12. The interval 490 < Rwun < 590 for gamma_wm is not specified and is not interpolated.
SP16-TBL-5,СП 16.13330.2017 «Стальные конструкции»,6.5,,13,5,"Расчетная таблица к п. 6.5: Расчетные сопротивления одноболтового соединения следует определять по формулам, приведенным в таблице 5",design properties of materials and connections,normative reference table,standard_core/material_resistance.py,implemented_as_data,existence_lookup_value_consistency_tested,Bolt-class factors and bearing factors visually transcribed from PDF page 13; bearing applicability is enforced at yield strength <= 450 N/mm2.
SP16-TBL-6,СП 16.13330.2017 «Стальные конструкции»,7.1.2,,14,6,"Расчетная таблица к п. 7.1.2: Расчет на прочность сечений в местах крепления растянутых элементов из одиночных уголков, прикрепляемых",centrally tensioned and compressed members,normative reference table,standard_core/axial_members.py,implemented_as_data,existence_lookup_value_consistency_and_no_interpolation_tests_passed,Discrete coefficients and footnote applicability visually extracted from PDF page 14; no interpolation or extrapolation.
SP16-TBL-7,СП 16.13330.2017 «Стальные конструкции»,7.1.3,,15,7,Расчетная таблица к п. 7.1.3: Расчет на устойчивость элементов сплошного сечения при центральном сжатии силой N и удовлетворяющих,centrally tensioned and compressed members,normative reference table,standard_core/axial_members.py,implemented_as_data,existence_lookup_value_consistency_and_type_rejection_tests_passed,Alpha/beta values and classification notes visually extracted from PDF pages 15-16. Arbitrary geometry is not auto-classified.
SP16-TBL-8,СП 16.13330.2017 «Стальные конструкции»,7.2.2-7.2.5,,18-19,8,Приведенная гибкость стержня сквозного сечения,built-up axial member effective slenderness,normative,data/table_8_built_up_effective_slenderness.json; standard_core/built_up_axial_members.py,implemented_as_data,existence_formula_catalog_and_six_equation_consistency_tests_passed,"All six formula cells, coefficient definitions, symbol notes, and the type-1 note were visually verified on PDF pages 18-19."
SP16-TBL-9,СП 16.13330.2017 «Стальные конструкции»,7.3.2,,22-23,9,Предельная условная гибкость стенки центрально сжатого элемента,local web stability,normative,data/table_9_wall_slenderness_limits.json; standard_core/local_stability.py,implemented_as_data,existence_lookup_branch_cap_and_value_consistency_tests_passed,"Four diagram groups, seven numbered formulas, branch conditions, caps, ratio limits, and notes transcribed from PDF pages 22-23."
SP16-TBL-10,СП 16.13330.2017 «Стальные конструкции»,7.3.8-7.3.9,,25-26,10,Предельная условная гибкость свеса пояса (полки),local flange stability,normative,data/table_10_flange_slenderness_limits.json; standard_core/local_stability.py,implemented_as_data,existence_lookup_boundary_multiplier_and_value_consistency_tests_passed,"Four diagram groups, formulas (37)-(40), member-slenderness boundary substitution, and edge-stiffener multipliers transcribed from PDF pages 25-26."
SP16-TBL-10а,СП 16.13330.2017 «Стальные конструкции»,8.2.3,,30,10а,Коэффициент c_omega для расчета симметричных двутавров при стесненном кручении,constrained torsion strength,normative,data/table_10a_constrained_torsion_coefficients.json; standard_core/bending_members.py,implemented_as_data,existence_exact_lookup_interpolation_boundary_and_value_consistency_tests_passed,All 11 printed nodes and the stated linear-interpolation procedure transcribed from PDF page 30; extrapolation is rejected.
