audit_id,item_type,standard_reference,implementation_status,test_status,validation_status,implementation_target,test_file,validation_case,comments
SP16-EQ-001,equation,6.6,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,standard_core/material_resistance.py:foundation_anchor_bolt_tension_design_resistance_n_mm2,tests/test_material_resistance.py,V11-SP16-EQ-001,Formula visually verified against supplied PDF page 13; coefficient 0.8 and Ryn input transcribed.
SP16-EQ-002,equation,6.6,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,standard_core/material_resistance.py:u_bolt_tension_design_resistance_n_mm2,tests/test_material_resistance.py,V11-SP16-EQ-002,Formula visually verified against supplied PDF page 13; coefficient 0.85 and Ryn input transcribed.
SP16-EQ-003,equation,6.7,no_code_explanatory,inventory_tested,not_applicable,standard_core/material_resistance.py,tests/test_equations.py,,Tracked to preserve equation-number continuity and prevent accidental invention of a deleted formula.
SP16-EQ-004,equation,6.8,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,standard_core/material_resistance.py:high_strength_wire_tension_design_resistance_n_mm2,tests/test_material_resistance.py,V11-SP16-EQ-004,Formula visually verified against supplied PDF page 13; coefficient 0.63 and Run input transcribed.
SP16-EQ-005,equation,7.1.1,implemented,normal_zero_boundary_unit_sign_and_branch_tests_passed,implementation_self_checks_passed_no_standard_worked_example,standard_core/axial_members.py:axial_strength_utilization_yield; axial_strength_utilization_ultimate,tests/test_axial_members.py,V11-SP16-EQ-005,Formula and both explicitly stated resistance branches visually verified on PDF page 14. Applicability selection remains explicit.
SP16-EQ-006,equation,7.1.2,implemented,normal_zero_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/axial_members.py:single_angle_connection_strength_utilization,tests/test_axial_members.py,V11-SP16-EQ-006,Equation visually verified on PDF page 14. Clause geometry and steel-grade restrictions are documented and not inferred.
SP16-EQ-007,equation,7.1.3,implemented,normal_zero_boundary_unit_sign_and_phi_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/axial_members.py:central_compression_stability_utilization,tests/test_axial_members.py,V11-SP16-EQ-007,Equation visually verified on PDF page 15. Local-stability prerequisites 7.3.2-7.3.9 remain external to this release.
SP16-EQ-008,equation,7.1.3,implemented,formula_low_slenderness_threshold_cap_and_annex_D1_consistency_tests_passed,validated_against_all_printed_Table_D1_cells_with_rounding_tolerance,standard_core/axial_members.py:central_compression_stability_coefficient,tests/test_axial_members.py,V11-SP16-EQ-008,Equation and rule text visually verified on PDF page 15. Rationalized algebraic form is used for numerical stability without changing the equation.
SP16-EQ-009,equation,7.1.3,implemented,normal_zero_boundary_unit_and_sign_tests_passed,implementation_self_check_and_Table_D1_chain_passed,standard_core/axial_members.py:stability_delta,tests/test_axial_members.py,V11-SP16-EQ-009,Formula visually verified on PDF page 15.
SP16-EQ-010,equation,7.1.5,implemented,tested,implementation_self_check_and_historical_v0_22_seed,standard_core.axial_members.open_u_section_torsional_flexural_utilization,tests/test_final_annex_and_release_consolidation.py,AXIAL-EQ-010-RECONSTRUCTION,Reconstructed from the source clause and surviving v0.22 API/validation evidence. c_max remains explicit; no geometry-derived Annex D lookup is invented.
SP16-EQ-011,equation,7.1.5,implemented,tested,implementation_self_check_and_historical_v0_22_seed,standard_core.axial_members.open_u_section_phi_1,tests/test_final_annex_and_release_consolidation.py,AXIAL-EQ-011-RECONSTRUCTION,Reconstructed from the source clause and surviving v0.22 API/validation evidence; rejects zero/non-finite relative slenderness.
SP16-EQ-012,equation,7.2.2-7.2.3,implemented,normal_zero_or_boundary_unit_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/built_up_axial_members.py:battened_effective_slenderness_type_1,tests/test_built_up_axial_members.py,V11-SP16-EQ-012,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-013,equation,7.2.2-7.2.3,implemented,normal_zero_or_boundary_unit_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/built_up_axial_members.py:battened_effective_slenderness_type_2,tests/test_built_up_axial_members.py,V11-SP16-EQ-013,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-014,equation,7.2.2-7.2.3,implemented,normal_zero_or_boundary_unit_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/built_up_axial_members.py:battened_effective_slenderness_type_3,tests/test_built_up_axial_members.py,V11-SP16-EQ-014,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-015,equation,7.2.2-7.2.5,implemented,normal_zero_or_boundary_unit_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/built_up_axial_members.py:lattice_effective_slenderness_type_1,tests/test_built_up_axial_members.py,V11-SP16-EQ-015,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-016,equation,7.2.2-7.2.5,implemented,normal_zero_or_boundary_unit_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/built_up_axial_members.py:lattice_effective_slenderness_type_2,tests/test_built_up_axial_members.py,V11-SP16-EQ-016,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-017,equation,7.2.2-7.2.5,implemented,normal_zero_or_boundary_unit_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/built_up_axial_members.py:lattice_effective_slenderness_type_3,tests/test_built_up_axial_members.py,V11-SP16-EQ-017,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-018,equation,7.2.7,implemented,normal_zero_or_boundary_unit_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/built_up_axial_members.py:fictitious_shear_force_n,tests/test_built_up_axial_members.py,V11-SP16-EQ-018,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-019,equation,7.2.8,implemented,normal_zero_or_boundary_unit_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/built_up_axial_members.py:batten_shear_force_n,tests/test_built_up_axial_members.py,V11-SP16-EQ-019,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-020,equation,7.2.8,implemented,normal_zero_or_boundary_unit_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/built_up_axial_members.py:batten_bending_moment_n_mm,tests/test_built_up_axial_members.py,V11-SP16-EQ-020,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-021,equation,7.2.9,implemented,normal_zero_or_boundary_unit_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/built_up_axial_members.py:lattice_diagonal_force_n,tests/test_built_up_axial_members.py,V11-SP16-EQ-021,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-022,equation,7.2.9,implemented,normal_zero_or_boundary_unit_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/built_up_axial_members.py:cross_lattice_additional_diagonal_force_n,tests/test_built_up_axial_members.py,V11-SP16-EQ-022,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-023,equation,7.3.2,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/local_stability.py:wall_slenderness_limit_eq23,tests/test_local_stability.py,V11-SP16-EQ-023,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-024,equation,7.3.2,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/local_stability.py:wall_slenderness_limit_eq24,tests/test_local_stability.py,V11-SP16-EQ-024,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-025,equation,7.3.2,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/local_stability.py:wall_slenderness_limit_eq25,tests/test_local_stability.py,V11-SP16-EQ-025,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
